y,land_cover
0,Corn
1,Cotton
2,Rice
3,Sorghum
4,Sweet Corn
5,Barley
6,Durum Wheat
7,Spring Wheat
8,Winter Wheat
9,Rye
10,Oats
11,Safflower
12,Alfalfa
13,Other Hay/Non Alfalfa
14,Dry Beans
15,Other Crops
16,Watermelons
17,Onions
18,Peas
19,Tomatoes
20,Sod/Grass Seed
21,Fallow/Idle Cropland
22,Cherries
23,Peaches
24,Grapes
25,Other Tree Crops
26,Citrus
27,Pecans
28,Almonds
29,Walnuts
30,Pears
31,Open Water
32,Developed/Open Space
33,Developed/Low Intensity
34,Developed/Med Intensity
35,Developed/High Intensity
36,Barren
37,Deciduous Forest
38,Evergreen Forest
39,Shrubland
40,Grassland/Pasture
41,Woody Wetlands
42,Herbaceous Wetlands
43,Pistachios
44,Triticale
45,Carrots
46,Asparagus
47,Garlic
48,Cantaloupes
49,Olives
50,Oranges
51,Honeydew Melons
52,Pomegranates
53,Nectarines
54,Plums
55,Dbl Crop WinWht/Corn
56,Dbl Crop Oats/Corn
57,Lettuce
58,Dbl Crop WinWht/Sorghum
59,Dbl Crop Barley/Corn
60,Blueberries
